Genome ,Coverage,Genes
SS14,1,TPANIC_RS04240
SS14,1,TPANIC_RS04245
SS14,1,TPANIC_RS04270
SS14,0.7671053,TPANIC_RS04420
SS14,1,TPANIC_RS04710
SS14,1,TPANIC_RS04715
SS14,1,TPANIC_RS04720
SS14,1,TPANIC_RS04760
SS14,1,TPANIC_RS04765
SS14,0.9986468,TPANIC_RS04770
SS14,0.9993647,TPANIC_RS04775
SS14,1,TPANIC_RS04780
SS14,1,TPANIC_RS04995
SS14,1,TPANIC_RS05015
SS14,0.9398578,TPANIC_RS05095
SS14,0.9290323,TPANIC_RS05095-377bp-del
SS14,1,TPANIC_RS05130
Nichols-Houston,1,TPANIC_RS05525
Nichols-Houston,1,TPANIC_RS05530
Nichols-Houston,1,TPANIC_RS05535
Nichols-Houston,1,TPANIC_RS00045
Nichols-Houston,1,TPANIC_RS00200
Nichols-Houston,1,TPANIC_RS00450
Nichols-Houston,1,TPANIC_RS00560
Nichols-Houston,1,TPANIC_RS00590
Nichols-Houston,1,TPANIC_RS00635
Nichols-Houston,1,TPANIC_RS00665
Nichols-Houston,1,TPANIC_RS00675
Nichols-Houston,1,TPANIC_RS00680
Nichols-Houston,1,TPANIC_RS00695
Nichols-Houston,1,TPANIC_RS00795
Nichols-Houston,1,TPANIC_RS00830
Nichols-Houston,1,TPANIC_RS00870
Nichols-Houston,1,TPANIC_RS01295
Nichols-Houston,1,TPANIC_RS01455
Nichols-Houston,1,TPANIC_RS01480
Nichols-Houston,1,TPANIC_RS01545
Nichols-Houston,1,TPANIC_RS01555 
Nichols-Houston,1,TPANIC_RS01560
Nichols-Houston,1,TPANIC_RS01590
Nichols-Houston,1,TPANIC_RS01595
Nichols-Houston,1,TPANIC_RS02115
Nichols-Houston,1,TPANIC_RS02120
Nichols-Houston,1,TPANIC_RS02210
Nichols-Houston,1,TPANIC_RS02260
Nichols-Houston,1,TPANIC_RS02345
Nichols-Houston,1,TPANIC_RS02370
Nichols-Houston,1,TPANIC_RS02405
Nichols-Houston,1,TPANIC_RS02520
Nichols-Houston,1,TPANIC_RS02695
Nichols-Houston,1,TPANIC_RS02820
Nichols-Houston,1,TPANIC_RS02830
Nichols-Houston,1,TPANIC_RS03015
Nichols-Houston,1,TPANIC_RS03060
Nichols-Houston,1,TPANIC_RS03065
Nichols-Houston,1,TPANIC_RS03070
Nichols-Houston,1,TPANIC_RS03170
Nichols-Houston,1,TPANIC_RS03175
Nichols-Houston,1,TPANIC_RS03245
Nichols-Houston,1,TPANIC_RS03475
Nichols-Houston,1,TPANIC_RS03635
Nichols-Houston,1,TPANIC_RS03715
Nichols-Houston,1,TPANIC_RS03720
Nichols-Houston,1,TPANIC_RS03800
Nichols-Houston,1,TPANIC_RS03805
Nichols-Houston,1,TPANIC_RS03940
Nichols-Houston,1,TPANIC_RS04050
Nichols-Houston,1,TPANIC_RS04235
Nichols-Houston,1,TPANIC_RS04240
Nichols-Houston,1,TPANIC_RS04245
Nichols-Houston,1,TPANIC_RS04270
Nichols-Houston,1,TPANIC_RS04420
Nichols-Houston,1,TPANIC_RS04710
Nichols-Houston,1,TPANIC_RS04715
Nichols-Houston,1,TPANIC_RS04720
Nichols-Houston,1,TPANIC_RS04760
Nichols-Houston,1,TPANIC_RS04765
Nichols-Houston,1,TPANIC_RS04770
Nichols-Houston,1,TPANIC_RS04775
Nichols-Houston,1,TPANIC_RS04780
Nichols-Houston,1,TPANIC_RS04995
Nichols-Houston,1,TPANIC_RS05015
Nichols-Houston,1,TPANIC_RS05095
Nichols-Houston,1,TPANIC_RS05095-377bp-del
Nichols-Houston,1,TPANIC_RS05130
PHE120033A,1,TPANIC_RS05525
PHE120033A,1,TPANIC_RS05530
PHE120033A,1,TPANIC_RS05535
PHE120033A,1,TPANIC_RS00045
PHE120033A,1,TPANIC_RS00200
PHE120033A,1,TPANIC_RS00450
PHE120033A,1,TPANIC_RS00560
PHE120033A,1,TPANIC_RS00590
PHE120033A,1,TPANIC_RS00635
PHE120033A,1,TPANIC_RS00665
PHE120033A,1,TPANIC_RS00675
PHE120033A,1,TPANIC_RS00680
PHE120033A,1,TPANIC_RS00695
PHE120033A,1,TPANIC_RS00795
PHE120033A,1,TPANIC_RS00830
PHE120033A,1,TPANIC_RS00870
PHE120033A,1,TPANIC_RS01295
PHE120033A,1,TPANIC_RS01455
PHE120033A,1,TPANIC_RS01480
PHE120033A,1,TPANIC_RS01545
PHE120033A,1,TPANIC_RS01555 
PHE120033A,1,TPANIC_RS01560
PHE120033A,1,TPANIC_RS01590
PHE120033A,1,TPANIC_RS01595
PHE120033A,1,TPANIC_RS02115
PHE120033A,1,TPANIC_RS02120
PHE120033A,1,TPANIC_RS02210
PHE120033A,1,TPANIC_RS02260
PHE120033A,1,TPANIC_RS02345
PHE120033A,1,TPANIC_RS02370
PHE120033A,1,TPANIC_RS02405
PHE120033A,1,TPANIC_RS02520
PHE120033A,1,TPANIC_RS02695
PHE120033A,1,TPANIC_RS02820
PHE120033A,1,TPANIC_RS02830
PHE120033A,1,TPANIC_RS03015
PHE120033A,1,TPANIC_RS03060
PHE120033A,1,TPANIC_RS03065
PHE120033A,1,TPANIC_RS03070
PHE120033A,1,TPANIC_RS03170
PHE120033A,1,TPANIC_RS03175
PHE120033A,1,TPANIC_RS03245
PHE120033A,1,TPANIC_RS03475
PHE120033A,1,TPANIC_RS03635
PHE120033A,1,TPANIC_RS03715
PHE120033A,1,TPANIC_RS03720
PHE120033A,1,TPANIC_RS03800
PHE120033A,1,TPANIC_RS03805
PHE120033A,0.9871324,TPANIC_RS03940
PHE120033A,1,TPANIC_RS04050
PHE120033A,1,TPANIC_RS04235
PHE120033A,0.918713,TPANIC_RS04240
PHE120033A,1,TPANIC_RS04245
PHE120033A,1,TPANIC_RS04270
PHE120033A,0.6592105,TPANIC_RS04420
PHE120033A,1,TPANIC_RS04710
PHE120033A,1,TPANIC_RS04715
PHE120033A,1,TPANIC_RS04720
PHE120033A,1,TPANIC_RS04760
PHE120033A,1,TPANIC_RS04765
PHE120033A,1,TPANIC_RS04770
PHE120033A,1,TPANIC_RS04775
PHE120033A,1,TPANIC_RS04780
PHE120033A,1,TPANIC_RS04995
PHE120033A,1,TPANIC_RS05015
PHE120033A,1,TPANIC_RS05095
PHE120033A,1,TPANIC_RS05095-377bp-del
PHE120033A,1,TPANIC_RS05130
PHE130048A,1,TPANIC_RS05525
PHE130048A,1,TPANIC_RS05530
PHE130048A,1,TPANIC_RS05535
PHE130048A,1,TPANIC_RS00045
PHE130048A,1,TPANIC_RS00200
PHE130048A,1,TPANIC_RS00450
PHE130048A,1,TPANIC_RS00560
PHE130048A,1,TPANIC_RS00590
PHE130048A,1,TPANIC_RS00635
PHE130048A,1,TPANIC_RS00665
PHE130048A,1,TPANIC_RS00675
PHE130048A,1,TPANIC_RS00680
PHE130048A,0.9159381,TPANIC_RS00695
PHE130048A,1,TPANIC_RS00795
PHE130048A,1,TPANIC_RS00830
PHE130048A,1,TPANIC_RS00870
PHE130048A,1,TPANIC_RS01295
PHE130048A,1,TPANIC_RS01455
PHE130048A,1,TPANIC_RS01480
PHE130048A,1,TPANIC_RS01545
PHE130048A,0.9974874,TPANIC_RS01555 
PHE130048A,1,TPANIC_RS01560
PHE130048A,0.9876642,TPANIC_RS01590
PHE130048A,1,TPANIC_RS01595
PHE130048A,1,TPANIC_RS02115
PHE130048A,1,TPANIC_RS02120
PHE130048A,1,TPANIC_RS02210
PHE130048A,0.844584,TPANIC_RS02260
PHE130048A,1,TPANIC_RS02345
PHE130048A,1,TPANIC_RS02370
PHE130048A,1,TPANIC_RS02405
PHE130048A,1,TPANIC_RS02520
PHE130048A,1,TPANIC_RS02695
PHE130048A,1,TPANIC_RS02820
PHE130048A,1,TPANIC_RS02830
PHE130048A,1,TPANIC_RS03015
PHE130048A,0.9880239,TPANIC_RS03060
PHE130048A,1,TPANIC_RS03065
PHE130048A,1,TPANIC_RS03070
PHE130048A,1,TPANIC_RS03170
PHE130048A,1,TPANIC_RS03175
PHE130048A,1,TPANIC_RS03245
PHE130048A,1,TPANIC_RS03475
PHE130048A,1,TPANIC_RS03635
PHE130048A,1,TPANIC_RS03715
PHE130048A,1,TPANIC_RS03720
PHE130048A,1,TPANIC_RS03800
PHE130048A,1,TPANIC_RS03805
PHE130048A,1,TPANIC_RS03940
PHE130048A,1,TPANIC_RS04050
PHE130048A,1,TPANIC_RS04235
PHE130048A,1,TPANIC_RS04240
PHE130048A,1,TPANIC_RS04245
PHE130048A,0.990966,TPANIC_RS04270
PHE130048A,0.5335526,TPANIC_RS04420
PHE130048A,1,TPANIC_RS04710
PHE130048A,1,TPANIC_RS04715
PHE130048A,1,TPANIC_RS04720
PHE130048A,1,TPANIC_RS04760
PHE130048A,1,TPANIC_RS04765
PHE130048A,1,TPANIC_RS04770
PHE130048A,1,TPANIC_RS04775
PHE130048A,1,TPANIC_RS04780
PHE130048A,1,TPANIC_RS04995
PHE130048A,1,TPANIC_RS05015
PHE130048A,0.9360306,TPANIC_RS05095
PHE130048A,0.9032258,TPANIC_RS05095-377bp-del
PHE130048A,1,TPANIC_RS05130
PHE140073A,1,TPANIC_RS05525
PHE140073A,1,TPANIC_RS05530
PHE140073A,1,TPANIC_RS05535
PHE140073A,1,TPANIC_RS00045
PHE140073A,1,TPANIC_RS00200
PHE140073A,1,TPANIC_RS00450
PHE140073A,1,TPANIC_RS00560
PHE140073A,1,TPANIC_RS00590
PHE140073A,1,TPANIC_RS00635
PHE140073A,1,TPANIC_RS00665
PHE140073A,1,TPANIC_RS00675
PHE140073A,1,TPANIC_RS00680
PHE140073A,0.8352388,TPANIC_RS00695
PHE140073A,1,TPANIC_RS00795
PHE140073A,1,TPANIC_RS00830
PHE140073A,1,TPANIC_RS00870
PHE140073A,1,TPANIC_RS01295
PHE140073A,1,TPANIC_RS01455
PHE140073A,1,TPANIC_RS01480
PHE140073A,1,TPANIC_RS01545
PHE140073A,1,TPANIC_RS01555 
PHE140073A,1,TPANIC_RS01560
PHE140073A,1,TPANIC_RS01590
PHE140073A,1,TPANIC_RS01595
PHE140073A,1,TPANIC_RS02115
PHE140073A,1,TPANIC_RS02120
PHE140073A,1,TPANIC_RS02210
PHE140073A,1,TPANIC_RS02260
PHE140073A,1,TPANIC_RS02345
PHE140073A,1,TPANIC_RS02370
PHE140073A,1,TPANIC_RS02405
PHE140073A,1,TPANIC_RS02520
PHE140073A,0.9838957,TPANIC_RS02695
PHE140073A,1,TPANIC_RS02820
PHE140073A,1,TPANIC_RS02830
PHE140073A,1,TPANIC_RS03015
PHE140073A,1,TPANIC_RS03060
PHE140073A,1,TPANIC_RS03065
PHE140073A,1,TPANIC_RS03070
PHE140073A,1,TPANIC_RS03170
PHE140073A,1,TPANIC_RS03175
PHE140073A,1,TPANIC_RS03245
PHE140073A,1,TPANIC_RS03475
PHE140073A,1,TPANIC_RS03635
PHE140073A,1,TPANIC_RS03715
PHE140073A,1,TPANIC_RS03720
PHE140073A,1,TPANIC_RS03800
PHE140073A,1,TPANIC_RS03805
PHE140073A,1,TPANIC_RS03940
PHE140073A,1,TPANIC_RS04050
PHE140073A,1,TPANIC_RS04235
PHE140073A,1,TPANIC_RS04240
PHE140073A,1,TPANIC_RS04245
PHE140073A,1,TPANIC_RS04270
PHE140073A,0.8078948,TPANIC_RS04420
PHE140073A,1,TPANIC_RS04710
PHE140073A,1,TPANIC_RS04715
PHE140073A,1,TPANIC_RS04720
PHE140073A,1,TPANIC_RS04760
PHE140073A,1,TPANIC_RS04765
PHE140073A,1,TPANIC_RS04770
PHE140073A,1,TPANIC_RS04775
PHE140073A,1,TPANIC_RS04780
PHE140073A,1,TPANIC_RS04995
PHE140073A,1,TPANIC_RS05015
PHE140073A,0.9797704,TPANIC_RS05095
PHE140073A,1,TPANIC_RS05095-377bp-del
PHE140073A,1,TPANIC_RS05130
Porvoo,1,TPANIC_RS05525
Porvoo,1,TPANIC_RS05530
Porvoo,1,TPANIC_RS05535
Porvoo,1,TPANIC_RS00045
Porvoo,1,TPANIC_RS00200
Porvoo,1,TPANIC_RS00450
Porvoo,1,TPANIC_RS00560
Porvoo,1,TPANIC_RS00590
Porvoo,1,TPANIC_RS00635
Porvoo,1,TPANIC_RS00665
Porvoo,1,TPANIC_RS00675
Porvoo,1,TPANIC_RS00680
Porvoo,0.9515803,TPANIC_RS00695
Porvoo,1,TPANIC_RS00795
Porvoo,1,TPANIC_RS00830
Porvoo,1,TPANIC_RS00870
Porvoo,1,TPANIC_RS01295
Porvoo,1,TPANIC_RS01455
Porvoo,1,TPANIC_RS01480
Porvoo,1,TPANIC_RS01545
Porvoo,1,TPANIC_RS01555 
Porvoo,1,TPANIC_RS01560
Porvoo,0.9972145,TPANIC_RS01590
Porvoo,1,TPANIC_RS01595
Porvoo,1,TPANIC_RS02115
Porvoo,1,TPANIC_RS02120
Porvoo,1,TPANIC_RS02210
Porvoo,1,TPANIC_RS02260
Porvoo,1,TPANIC_RS02345
Porvoo,1,TPANIC_RS02370
Porvoo,1,TPANIC_RS02405
Porvoo,1,TPANIC_RS02520
Porvoo,0.9777607,TPANIC_RS02695
Porvoo,1,TPANIC_RS02820
Porvoo,1,TPANIC_RS02830
Porvoo,1,TPANIC_RS03015
Porvoo,1,TPANIC_RS03060
Porvoo,1,TPANIC_RS03065
Porvoo,1,TPANIC_RS03070
Porvoo,1,TPANIC_RS03170
Porvoo,1,TPANIC_RS03175
Porvoo,1,TPANIC_RS03245
Porvoo,1,TPANIC_RS03475
Porvoo,1,TPANIC_RS03635
Porvoo,1,TPANIC_RS03715
Porvoo,1,TPANIC_RS03720
Porvoo,1,TPANIC_RS03800
Porvoo,1,TPANIC_RS03805
Porvoo,1,TPANIC_RS03940
Porvoo,1,TPANIC_RS04050
Porvoo,1,TPANIC_RS04235
Porvoo,1,TPANIC_RS04240
Porvoo,1,TPANIC_RS04245
Porvoo,1,TPANIC_RS04270
Porvoo,0.9401316,TPANIC_RS04420
Porvoo,1,TPANIC_RS04710
Porvoo,1,TPANIC_RS04715
Porvoo,1,TPANIC_RS04720
Porvoo,1,TPANIC_RS04760
Porvoo,1,TPANIC_RS04765
Porvoo,1,TPANIC_RS04770
Porvoo,1,TPANIC_RS04775
Porvoo,1,TPANIC_RS04780
Porvoo,1,TPANIC_RS04995
Porvoo,1,TPANIC_RS05015
Porvoo,1,TPANIC_RS05095
Porvoo,1,TPANIC_RS05095-377bp-del
Porvoo,1,TPANIC_RS05130
SAMEA3638269,1,TPANIC_RS05525
SAMEA3638269,1,TPANIC_RS05530
SAMEA3638269,1,TPANIC_RS05535
SAMEA3638269,1,TPANIC_RS00045
SAMEA3638269,1,TPANIC_RS00200
SAMEA3638269,1,TPANIC_RS00450
SAMEA3638269,1,TPANIC_RS00560
SAMEA3638269,0.7628062,TPANIC_RS00590
SAMEA3638269,1,TPANIC_RS00635
SAMEA3638269,0.7722717,TPANIC_RS00665
SAMEA3638269,0.9764611,TPANIC_RS00675
SAMEA3638269,0.9973451,TPANIC_RS00680
SAMEA3638269,0.3120376,TPANIC_RS00695
SAMEA3638269,1,TPANIC_RS00795
SAMEA3638269,1,TPANIC_RS00830
SAMEA3638269,1,TPANIC_RS00870
SAMEA3638269,1,TPANIC_RS01295
SAMEA3638269,1,TPANIC_RS01455
SAMEA3638269,1,TPANIC_RS01480
SAMEA3638269,1,TPANIC_RS01545
SAMEA3638269,0.9874372,TPANIC_RS01555 
SAMEA3638269,1,TPANIC_RS01560
SAMEA3638269,0.9976124,TPANIC_RS01590
SAMEA3638269,1,TPANIC_RS01595
SAMEA3638269,0.9807056,TPANIC_RS02115
SAMEA3638269,1,TPANIC_RS02120
SAMEA3638269,1,TPANIC_RS02210
SAMEA3638269,0.9324961,TPANIC_RS02260
SAMEA3638269,0.9917424,TPANIC_RS02345
SAMEA3638269,0.9956642,TPANIC_RS02370
SAMEA3638269,1,TPANIC_RS02405
SAMEA3638269,1,TPANIC_RS02520
SAMEA3638269,0.9846626,TPANIC_RS02695
SAMEA3638269,1,TPANIC_RS02820
SAMEA3638269,1,TPANIC_RS02830
SAMEA3638269,1,TPANIC_RS03015
SAMEA3638269,0.7814371,TPANIC_RS03060
SAMEA3638269,0.9917988,TPANIC_RS03065
SAMEA3638269,0.7974517,TPANIC_RS03070
SAMEA3638269,1,TPANIC_RS03170
SAMEA3638269,1,TPANIC_RS03175
SAMEA3638269,1,TPANIC_RS03245
SAMEA3638269,1,TPANIC_RS03475
SAMEA3638269,0.9893779,TPANIC_RS03635
SAMEA3638269,1,TPANIC_RS03715
SAMEA3638269,1,TPANIC_RS03720
SAMEA3638269,1,TPANIC_RS03800
SAMEA3638269,1,TPANIC_RS03805
SAMEA3638269,1,TPANIC_RS03940
SAMEA3638269,1,TPANIC_RS04050
SAMEA3638269,1,TPANIC_RS04235
SAMEA3638269,0.9458086,TPANIC_RS04240
SAMEA3638269,0.9979784,TPANIC_RS04245
SAMEA3638269,0.9930508,TPANIC_RS04270
SAMEA3638269,0.969079,TPANIC_RS04420
SAMEA3638269,1,TPANIC_RS04710
SAMEA3638269,1,TPANIC_RS04715
SAMEA3638269,1,TPANIC_RS04720
SAMEA3638269,1,TPANIC_RS04760
SAMEA3638269,1,TPANIC_RS04765
SAMEA3638269,1,TPANIC_RS04770
SAMEA3638269,1,TPANIC_RS04775
SAMEA3638269,1,TPANIC_RS04780
SAMEA3638269,1,TPANIC_RS04995
SAMEA3638269,1,TPANIC_RS05015
SAMEA3638269,0.8518316,TPANIC_RS05095
SAMEA3638269,0,TPANIC_RS05095-377bp-del
SAMEA3638269,1,TPANIC_RS05130
SAMEA3638271,1,TPANIC_RS05525
SAMEA3638271,1,TPANIC_RS05530
SAMEA3638271,1,TPANIC_RS05535
SAMEA3638271,1,TPANIC_RS00045
SAMEA3638271,1,TPANIC_RS00200
SAMEA3638271,1,TPANIC_RS00450
SAMEA3638271,1,TPANIC_RS00560
SAMEA3638271,0.7711582,TPANIC_RS00590
SAMEA3638271,1,TPANIC_RS00635
SAMEA3638271,0.7644766,TPANIC_RS00665
SAMEA3638271,0.9764611,TPANIC_RS00675
SAMEA3638271,0.9929203,TPANIC_RS00680
SAMEA3638271,0.3046402,TPANIC_RS00695
SAMEA3638271,1,TPANIC_RS00795
SAMEA3638271,1,TPANIC_RS00830
SAMEA3638271,1,TPANIC_RS00870
SAMEA3638271,1,TPANIC_RS01295
SAMEA3638271,1,TPANIC_RS01455
SAMEA3638271,1,TPANIC_RS01480
SAMEA3638271,1,TPANIC_RS01545
SAMEA3638271,0.9849246,TPANIC_RS01555 
SAMEA3638271,1,TPANIC_RS01560
SAMEA3638271,0.9972145,TPANIC_RS01590
SAMEA3638271,1,TPANIC_RS01595
SAMEA3638271,0.9823594,TPANIC_RS02115
SAMEA3638271,1,TPANIC_RS02120
SAMEA3638271,1,TPANIC_RS02210
SAMEA3638271,0.9364207,TPANIC_RS02260
SAMEA3638271,0.9884393,TPANIC_RS02345
SAMEA3638271,0.9960583,TPANIC_RS02370
SAMEA3638271,1,TPANIC_RS02405
SAMEA3638271,1,TPANIC_RS02520
SAMEA3638271,0.9907975,TPANIC_RS02695
SAMEA3638271,1,TPANIC_RS02820
SAMEA3638271,1,TPANIC_RS02830
SAMEA3638271,1,TPANIC_RS03015
SAMEA3638271,0.7799401,TPANIC_RS03060
SAMEA3638271,0.9923456,TPANIC_RS03065
SAMEA3638271,0.7917399,TPANIC_RS03070
SAMEA3638271,1,TPANIC_RS03170
SAMEA3638271,1,TPANIC_RS03175
SAMEA3638271,1,TPANIC_RS03245
SAMEA3638271,1,TPANIC_RS03475
SAMEA3638271,0.986343,TPANIC_RS03635
SAMEA3638271,1,TPANIC_RS03715
SAMEA3638271,1,TPANIC_RS03720
SAMEA3638271,1,TPANIC_RS03800
SAMEA3638271,1,TPANIC_RS03805
SAMEA3638271,1,TPANIC_RS03940
SAMEA3638271,1,TPANIC_RS04050
SAMEA3638271,1,TPANIC_RS04235
SAMEA3638271,0.9441152,TPANIC_RS04240
SAMEA3638271,0.9966307,TPANIC_RS04245
SAMEA3638271,0.9930508,TPANIC_RS04270
SAMEA3638271,0.9473684,TPANIC_RS04420
SAMEA3638271,1,TPANIC_RS04710
SAMEA3638271,1,TPANIC_RS04715
SAMEA3638271,1,TPANIC_RS04720
SAMEA3638271,1,TPANIC_RS04760
SAMEA3638271,1,TPANIC_RS04765
SAMEA3638271,1,TPANIC_RS04770
SAMEA3638271,1,TPANIC_RS04775
SAMEA3638271,1,TPANIC_RS04780
SAMEA3638271,1,TPANIC_RS04995
SAMEA3638271,1,TPANIC_RS05015
SAMEA3638271,0.8512849,TPANIC_RS05095
SAMEA3638271,0,TPANIC_RS05095-377bp-del
SAMEA3638271,1,TPANIC_RS05130
SAMEA3638275,1,TPANIC_RS05525
SAMEA3638275,1,TPANIC_RS05530
SAMEA3638275,1,TPANIC_RS05535
SAMEA3638275,1,TPANIC_RS00045
SAMEA3638275,1,TPANIC_RS00200
SAMEA3638275,1,TPANIC_RS00450
SAMEA3638275,1,TPANIC_RS00560
SAMEA3638275,0.739421,TPANIC_RS00590
SAMEA3638275,1,TPANIC_RS00635
SAMEA3638275,0.739421,TPANIC_RS00665
SAMEA3638275,0.9715909,TPANIC_RS00675
SAMEA3638275,1,TPANIC_RS00680
SAMEA3638275,0.2333557,TPANIC_RS00695
SAMEA3638275,1,TPANIC_RS00795
SAMEA3638275,1,TPANIC_RS00830
SAMEA3638275,1,TPANIC_RS00870
SAMEA3638275,1,TPANIC_RS01295
SAMEA3638275,1,TPANIC_RS01455
SAMEA3638275,1,TPANIC_RS01480
SAMEA3638275,1,TPANIC_RS01545
SAMEA3638275,0.982412,TPANIC_RS01555 
SAMEA3638275,1,TPANIC_RS01560
SAMEA3638275,0.9920414,TPANIC_RS01590
SAMEA3638275,1,TPANIC_RS01595
SAMEA3638275,0.9255788,TPANIC_RS02115
SAMEA3638275,1,TPANIC_RS02120
SAMEA3638275,1,TPANIC_RS02210
SAMEA3638275,0.766091,TPANIC_RS02260
SAMEA3638275,0.9834847,TPANIC_RS02345
SAMEA3638275,0.9755617,TPANIC_RS02370
SAMEA3638275,1,TPANIC_RS02405
SAMEA3638275,1,TPANIC_RS02520
SAMEA3638275,0.9532208,TPANIC_RS02695
SAMEA3638275,1,TPANIC_RS02820
SAMEA3638275,1,TPANIC_RS02830
SAMEA3638275,1,TPANIC_RS03015
SAMEA3638275,0.754491,TPANIC_RS03060
SAMEA3638275,0.9857846,TPANIC_RS03065
SAMEA3638275,0.7869068,TPANIC_RS03070
SAMEA3638275,1,TPANIC_RS03170
SAMEA3638275,1,TPANIC_RS03175
SAMEA3638275,1,TPANIC_RS03245
SAMEA3638275,1,TPANIC_RS03475
SAMEA3638275,0.9666161,TPANIC_RS03635
SAMEA3638275,1,TPANIC_RS03715
SAMEA3638275,1,TPANIC_RS03720
SAMEA3638275,1,TPANIC_RS03800
SAMEA3638275,1,TPANIC_RS03805
SAMEA3638275,1,TPANIC_RS03940
SAMEA3638275,1,TPANIC_RS04050
SAMEA3638275,1,TPANIC_RS04235
SAMEA3638275,0.9204065,TPANIC_RS04240
SAMEA3638275,0.9784366,TPANIC_RS04245
SAMEA3638275,0.9735928,TPANIC_RS04270
SAMEA3638275,0.8677632,TPANIC_RS04420
SAMEA3638275,1,TPANIC_RS04710
SAMEA3638275,1,TPANIC_RS04715
SAMEA3638275,1,TPANIC_RS04720
SAMEA3638275,1,TPANIC_RS04760
SAMEA3638275,0.9909852,TPANIC_RS04765
SAMEA3638275,1,TPANIC_RS04770
SAMEA3638275,1,TPANIC_RS04775
SAMEA3638275,1,TPANIC_RS04780
SAMEA3638275,1,TPANIC_RS04995
SAMEA3638275,1,TPANIC_RS05015
SAMEA3638275,0.8447239,TPANIC_RS05095
SAMEA3638275,0,TPANIC_RS05095-377bp-del
SAMEA3638275,1,TPANIC_RS05130
SAMEA3638277,1,TPANIC_RS05525
SAMEA3638277,1,TPANIC_RS05530
SAMEA3638277,1,TPANIC_RS05535
SAMEA3638277,1,TPANIC_RS00045
SAMEA3638277,1,TPANIC_RS00200
SAMEA3638277,1,TPANIC_RS00450
SAMEA3638277,1,TPANIC_RS00560
SAMEA3638277,0.6943207,TPANIC_RS00590
SAMEA3638277,1,TPANIC_RS00635
SAMEA3638277,0.6932071,TPANIC_RS00665
SAMEA3638277,0.9667208,TPANIC_RS00675
SAMEA3638277,0.9530973,TPANIC_RS00680
SAMEA3638277,0.262273,TPANIC_RS00695
SAMEA3638277,1,TPANIC_RS00795
SAMEA3638277,1,TPANIC_RS00830
SAMEA3638277,1,TPANIC_RS00870
SAMEA3638277,1,TPANIC_RS01295
SAMEA3638277,1,TPANIC_RS01455
SAMEA3638277,1,TPANIC_RS01480
SAMEA3638277,1,TPANIC_RS01545
SAMEA3638277,0.980737,TPANIC_RS01555 
SAMEA3638277,1,TPANIC_RS01560
SAMEA3638277,0.9896538,TPANIC_RS01590
SAMEA3638277,1,TPANIC_RS01595
SAMEA3638277,0.9079382,TPANIC_RS02115
SAMEA3638277,1,TPANIC_RS02120
SAMEA3638277,1,TPANIC_RS02210
SAMEA3638277,0.8461539,TPANIC_RS02260
SAMEA3638277,0.9677952,TPANIC_RS02345
SAMEA3638277,0.9546708,TPANIC_RS02370
SAMEA3638277,1,TPANIC_RS02405
SAMEA3638277,1,TPANIC_RS02520
SAMEA3638277,0.9647239,TPANIC_RS02695
SAMEA3638277,1,TPANIC_RS02820
SAMEA3638277,1,TPANIC_RS02830
SAMEA3638277,1,TPANIC_RS03015
SAMEA3638277,0.763473,TPANIC_RS03060
SAMEA3638277,0.9874249,TPANIC_RS03065
SAMEA3638277,0.7833919,TPANIC_RS03070
SAMEA3638277,1,TPANIC_RS03170
SAMEA3638277,1,TPANIC_RS03175
SAMEA3638277,1,TPANIC_RS03245
SAMEA3638277,1,TPANIC_RS03475
SAMEA3638277,0.9590288,TPANIC_RS03635
SAMEA3638277,1,TPANIC_RS03715
SAMEA3638277,1,TPANIC_RS03720
SAMEA3638277,1,TPANIC_RS03800
SAMEA3638277,1,TPANIC_RS03805
SAMEA3638277,1,TPANIC_RS03940
SAMEA3638277,1,TPANIC_RS04050
SAMEA3638277,1,TPANIC_RS04235
SAMEA3638277,0.9136325,TPANIC_RS04240
SAMEA3638277,0.953504,TPANIC_RS04245
SAMEA3638277,0.9749826,TPANIC_RS04270
SAMEA3638277,0.8026316,TPANIC_RS04420
SAMEA3638277,1,TPANIC_RS04710
SAMEA3638277,1,TPANIC_RS04715
SAMEA3638277,1,TPANIC_RS04720
SAMEA3638277,1,TPANIC_RS04760
SAMEA3638277,0.9613651,TPANIC_RS04765
SAMEA3638277,1,TPANIC_RS04770
SAMEA3638277,1,TPANIC_RS04775
SAMEA3638277,1,TPANIC_RS04780
SAMEA3638277,1,TPANIC_RS04995
SAMEA3638277,1,TPANIC_RS05015
SAMEA3638277,0.8469109,TPANIC_RS05095
SAMEA3638277,0,TPANIC_RS05095-377bp-del
SAMEA3638277,1,TPANIC_RS05130
SAMEA3638281,1,TPANIC_RS05525
SAMEA3638281,1,TPANIC_RS05530
SAMEA3638281,1,TPANIC_RS05535
SAMEA3638281,1,TPANIC_RS00045
SAMEA3638281,1,TPANIC_RS00200
SAMEA3638281,1,TPANIC_RS00450
SAMEA3638281,1,TPANIC_RS00560
SAMEA3638281,0.7344098,TPANIC_RS00590
SAMEA3638281,1,TPANIC_RS00635
SAMEA3638281,0.7316259,TPANIC_RS00665
SAMEA3638281,0.9764611,TPANIC_RS00675
SAMEA3638281,1,TPANIC_RS00680
SAMEA3638281,0.3053127,TPANIC_RS00695
SAMEA3638281,1,TPANIC_RS00795
SAMEA3638281,1,TPANIC_RS00830
